,ADA,APRE,BIME,BRODA,CERTO,CICLO,DEUCRAVA,ETA,FUM,GUSEL,IFX,IXE,MTX,NETA,PBO,RISAN,SECU,SONELO,TILDRA,USK
ADA,ADA,.,"0.60
( 0.51,   0.71)",.,.,.,.,.,.,"0.69
( 0.63,   0.76)",.,.,.,.,"15.31
(10.83,  21.64)","0.65
( 0.57,   0.75)",.,.,.,.
APRE,"2.26
( 1.31,  3.88)",APRE,.,.,.,.,.,"0.71
( 0.36,   1.38)",.,.,.,.,.,.,"6.95
( 3.38,  14.33)",.,.,.,.,.
BIME,"0.57
( 0.52,  0.63)","0.25
( 0.15,  0.44)",BIME,.,.,.,.,.,.,.,.,.,.,.,"25.52
(11.24,  57.96)",.,"1.15
( 1.07,   1.24)",.,.,"1.71
( 1.46,   2.01)"
BRODA,"0.72
( 0.63,  0.82)","0.32
( 0.18,  0.55)","1.26
( 1.12,  1.41)",BRODA,.,.,.,.,.,.,.,.,.,.,"26.60
(16.94,  41.76)",.,.,.,.,"1.27
( 1.16,   1.39)"
CERTO,"1.31
( 0.97,  1.77)","0.58
( 0.32,  1.05)","2.28
( 1.69,  3.08)","1.82
( 1.33,  2.47)",CERTO,.,.,"1.20
( 0.90,   1.60)",.,.,.,.,.,.,"19.73
( 8.28,  47.02)",.,.,.,.,.
CICLO,"2.47
( 0.46, 13.29)","1.10
( 0.19,  6.36)","4.32
( 0.80, 23.20)","3.44
( 0.64, 18.49)","1.89
( 0.34, 10.40)",CICLO,.,.,.,.,.,.,"1.01
( 0.61,   1.68)",.,.,.,.,.,.,.
DEUCRAVA,"1.24
( 0.18,  8.76)","0.55
( 0.07,  4.15)","2.16
( 0.31, 15.29)","1.72
( 0.24, 12.19)","0.95
( 0.13,  6.83)","0.50
( 0.04,  6.53)",DEUCRAVA,.,.,.,.,.,.,.,"13.99
( 1.99,  98.10)",.,.,.,.,.
ETA,"1.63
( 1.43,  1.86)","0.72
( 0.42,  1.23)","2.84
( 2.50,  3.22)","2.26
( 1.96,  2.61)","1.25
( 0.95,  1.64)","0.66
( 0.12,  3.54)","1.31
( 0.19,  9.29)",ETA,.,.,"0.11
( 0.02,   0.78)","0.34
( 0.30,   0.39)",.,.,"11.67
( 8.13,  16.74)",.,"0.43
( 0.34,   0.54)",.,"0.57
( 0.45,   0.72)","0.55
( 0.45,   0.69)"
FUM,"3.98
( 1.80,  8.82)","1.77
( 0.69,  4.54)","6.95
( 3.14, 15.38)","5.53
( 2.49, 12.28)","3.05
( 1.32,  7.06)","1.61
( 0.30,  8.76)","3.21
( 0.39, 26.15)","2.45
( 1.10,  5.42)",FUM,.,.,.,"0.50
( 0.05,   5.22)",.,"4.47
( 2.01,   9.95)",.,.,.,.,.
GUSEL,"0.72
( 0.67,  0.78)","0.32
( 0.19,  0.55)","1.26
( 1.16,  1.36)","1.00
( 0.89,  1.12)","0.55
( 0.41,  0.74)","0.29
( 0.05,  1.56)","0.58
( 0.08,  4.10)","0.44
( 0.39,  0.50)","0.18
( 0.08,  0.40)",GUSEL,.,"0.77
( 0.70,   0.85)",.,.,"27.76
(16.21,  47.55)",.,"0.91
( 0.84,   0.98)",.,.,.
IFX,"0.35
( 0.14,  0.84)","0.15
( 0.06,  0.43)","0.60
( 0.25,  1.47)","0.48
( 0.20,  1.17)","0.26
( 0.10,  0.67)","0.14
( 0.02,  0.92)","0.28
( 0.03,  2.36)","0.21
( 0.09,  0.52)","0.09
( 0.03,  0.28)","0.48
( 0.20,  1.17)",IFX,.,.,.,"42.55
(16.05, 112.85)",.,.,.,.,.
IXE,"0.57
( 0.52,  0.64)","0.25
( 0.15,  0.44)","1.00
( 0.91,  1.11)","0.80
( 0.71,  0.90)","0.44
( 0.33,  0.59)","0.23
( 0.04,  1.25)","0.46
( 0.07,  3.28)","0.35
( 0.32,  0.39)","0.14
( 0.07,  0.32)","0.80
( 0.74,  0.86)","1.66
( 0.68,  4.03)",IXE,.,.,"37.65
(21.25,  66.73)",.,.,.,.,"1.41
( 1.21,   1.63)"
MTX,"2.50
( 0.50, 12.42)","1.11
( 0.21,  5.96)","4.36
( 0.88, 21.67)","3.47
( 0.70, 17.27)","1.91
( 0.38,  9.72)","1.01
( 0.61,  1.68)","2.02
( 0.16, 24.97)","1.53
( 0.31,  7.63)","0.63
( 0.12,  3.16)","3.47
( 0.70, 17.25)","7.22
( 1.17, 44.49)","4.35
( 0.87, 21.61)",MTX,.,"5.81
( 0.72,  46.53)",.,.,.,.,.
NETA,"3.86
( 1.74,  8.55)","1.71
( 0.67,  4.40)","6.74
( 3.04, 14.93)","5.37
( 2.42, 11.91)","2.96
( 1.28,  6.84)","1.56
( 0.25,  9.87)","3.12
( 0.38, 25.36)","2.37
( 1.07,  5.26)","0.97
( 0.32,  2.90)","5.37
( 2.43, 11.87)","11.16
( 3.47, 35.95)","6.72
( 3.04, 14.89)","1.55
( 0.26,  9.10)",NETA,"4.49
( 2.07,   9.75)",.,.,.,.,.
PBO,"17.34
(14.57, 20.63)","7.68
( 4.48, 13.17)","30.26
(25.44, 35.99)","24.09
(20.05, 28.96)","13.27
( 9.63, 18.29)","7.01
( 1.32, 37.32)","13.99
( 1.99, 98.10)","10.65
( 8.88, 12.77)","4.35
( 2.00,  9.45)","24.10
(20.36, 28.52)","50.10
(20.88,120.22)","30.18
(25.36, 35.91)","6.94
( 1.41, 34.17)","4.49
( 2.07,  9.75)",PBO,"0.04
( 0.03,   0.08)","0.04
( 0.03,   0.06)","0.02
( 0.00,   0.24)","0.06
( 0.03,   0.12)","0.06
( 0.04,   0.08)"
RISAN,"0.60
( 0.55,  0.67)","0.27
( 0.16,  0.46)","1.05
( 0.95,  1.17)","0.84
( 0.74,  0.95)","0.46
( 0.34,  0.63)","0.24
( 0.05,  1.31)","0.49
( 0.07,  3.44)","0.37
( 0.32,  0.43)","0.15
( 0.07,  0.34)","0.84
( 0.76,  0.93)","1.74
( 0.72,  4.24)","1.05
( 0.94,  1.18)","0.24
( 0.05,  1.20)","0.16
( 0.07,  0.35)","0.03
( 0.03,  0.04)",RISAN,"1.12
( 0.97,   1.30)",.,.,"1.65
( 1.42,   1.92)"
SECU,"0.66
( 0.61,  0.72)","0.29
( 0.17,  0.50)","1.15
( 1.08,  1.23)","0.92
( 0.83,  1.02)","0.51
( 0.38,  0.68)","0.27
( 0.05,  1.43)","0.53
( 0.08,  3.76)","0.41
( 0.36,  0.45)","0.17
( 0.08,  0.37)","0.92
( 0.86,  0.98)","1.91
( 0.79,  4.63)","1.15
( 1.06,  1.25)","0.26
( 0.05,  1.31)","0.17
( 0.08,  0.38)","0.04
( 0.03,  0.04)","1.09
( 1.00,  1.20)",SECU,"1.04
( 0.83,   1.30)",.,"1.40
( 1.30,   1.50)"
SONELO,"0.68
( 0.54,  0.87)","0.30
( 0.17,  0.54)","1.19
( 0.94,  1.50)","0.95
( 0.74,  1.21)","0.52
( 0.36,  0.76)","0.28
( 0.05,  1.50)","0.55
( 0.08,  3.94)","0.42
( 0.33,  0.54)","0.17
( 0.08,  0.39)","0.95
( 0.75,  1.20)","1.97
( 0.79,  4.92)","1.19
( 0.93,  1.51)","0.27
( 0.05,  1.38)","0.18
( 0.08,  0.40)","0.04
( 0.03,  0.05)","1.13
( 0.89,  1.44)","1.03
( 0.83,  1.29)",SONELO,.,.
TILDRA,"0.93
( 0.72,  1.21)","0.41
( 0.23,  0.74)","1.63
( 1.26,  2.10)","1.30
( 1.00,  1.69)","0.72
( 0.50,  1.02)","0.38
( 0.07,  2.06)","0.75
( 0.11,  5.39)","0.57
( 0.46,  0.72)","0.23
( 0.10,  0.53)","1.30
( 1.01,  1.67)","2.70
( 1.08,  6.72)","1.63
( 1.27,  2.08)","0.37
( 0.07,  1.89)","0.24
( 0.11,  0.55)","0.05
( 0.04,  0.07)","1.55
( 1.19,  2.01)","1.41
( 1.10,  1.81)","1.37
( 0.98,  1.92)",TILDRA,.
USK,"0.92
( 0.84,  1.01)","0.41
( 0.24,  0.70)","1.60
( 1.48,  1.73)","1.28
( 1.17,  1.39)","0.70
( 0.52,  0.94)","0.37
( 0.07,  1.99)","0.74
( 0.10,  5.23)","0.56
( 0.50,  0.63)","0.23
( 0.10,  0.51)","1.28
( 1.18,  1.38)","2.65
( 1.09,  6.43)","1.60
( 1.46,  1.74)","0.37
( 0.07,  1.82)","0.24
( 0.11,  0.53)","0.05
( 0.04,  0.06)","1.52
( 1.38,  1.67)","1.39
( 1.31,  1.47)","1.34
( 1.07,  1.70)","0.98
( 0.77,  1.26)",USK
