studlab,treat1,treat2,TE,seTE,n1,n2,rob,type_outcome1,TE2,treat1_2,treat2_2,seTE2,type_outcome2,year_publication,r1,r2,z1,z2,male,sample_size,n21,n22,perc of males,age,year
1,ETA,USK,-0.456,0.134,347.0,209.0,3.0,binary,-0.507,ETA,USK,0.702,binary,2010.0,80.0,76.0,4.0,4.0,613.0,903,347.0,209.0,0.678848283,45,2010.0
2,PBO,USK,-2.32,1.0,31.0,64.0,2.0,binary,2.326,PBO,USK,1.534,binary,2012.0,1.0,21.0,2.0,0.0,126.0,160,31.0,64.0,0.7875,45,2012.0
3,PBO,USK,-3.068,1.0,64.0,128.0,1.0,binary,-0.916,PBO,USK,1.085,binary,2007.0,1.0,43.0,1.0,5.0,222.0,320,64.0,128.0,0.69375,45,2007.0
4,PBO,USK,-3.054,0.449,255.0,255.0,1.0,binary,0.0,PBO,USK,0.996,binary,2008.0,5.0,106.0,2.0,2.0,531.0,766,255.0,255.0,0.693211488,45,2008.0
5,PBO,USK,-4.057,0.578,410.0,409.0,1.0,binary,-0.002,PBO,USK,0.495,binary,2008.0,3.0,173.0,8.0,8.0,840.0,1230,410.0,409.0,0.682926829,47,2008.0
6,PBO,USK,-3.385,1.0,60.0,61.0,1.0,binary,1.626,PBO,USK,1.539,binary,2011.0,1.0,30.0,2.0,0.0,103.0,121,60.0,61.0,0.851239669,41,2011.0
7,PBO,TOFA,-3.537,1.421,50.0,48.0,1.0,binary,-1.139,PBO,TOFA,1.621,binary,2012.0,0.0,16.0,0.0,1.0,125.0,197,50.0,48.0,0.634517766,44.5,2012.0
8,PBO,SECU,-4.29,1.412,59.0,59.0,1.0,binary,-1.099,PBO,SECU,1.14,binary,2014.0,0.0,36.0,1.0,3.0,117.0,177,59.0,59.0,0.661016949,46,2014.0
9,PBO,SECU,-3.89,0.576,248.0,245.0,1.0,binary,-0.418,PBO,SECU,0.639,binary,2014.0,3.0,145.0,4.0,6.0,509.0,738,248.0,245.0,0.689701897,45,2014.0
10,ETA,PBO,2.595,0.457,326.0,326.0,1.0,binary,-0.693,ETA,PBO,0.703,binary,2014.0,67.0,5.0,3.0,6.0,929.0,1306,326.0,326.0,0.711332312,44,2014.0
10,ETA,SECU,-0.957,0.12,326.0,327.0,1.0,binary,-0.285,ETA,SECU,0.76,binary,2014.0,67.0,175.0,3.0,4.0,929.0,1306,326.0,327.0,0.711332312,44,2014.0
10,PBO,SECU,-3.552,0.447,326.0,327.0,1.0,binary,0.409,PBO,SECU,0.641,binary,2014.0,5.0,175.0,6.0,4.0,929.0,1306,326.0,327.0,0.711332312,44,2014.0
11,PBO,SECU,-1.452,0.997,22.0,103.0,3.0,binary,1.138,PBO,SECU,0.882,binary,2013.0,1.0,20.0,2.0,3.0,91.0,125,22.0,103.0,0.728,46,2013.0
12,PBO,SECU,-2.675,0.998,67.0,337.0,1.0,binary,-0.87,PBO,SECU,1.032,binary,2013.0,1.0,73.0,1.0,12.0,306.0,404,67.0,337.0,0.757425743,44,2013.0
15,CICLO,MTX,0.988,0.549,31.0,37.0,3.0,binary,,CICLO,MTX,,binary,2007.0,9.0,4.0,0.0,0.0,55.0,84,31.0,37.0,0.654761905,46.5,2007.0
16,CICLO,MTX,-0.171,0.288,42.0,43.0,3.0,binary,,CICLO,MTX,,binary,2003.0,14.0,17.0,0.0,0.0,57.0,88,42.0,43.0,0.647727273,42.5,2003.0
17,CICLO,MTX,-0.773,0.332,15.0,15.0,3.0,binary,,CICLO,MTX,,binary,2003.0,6.0,13.0,,,25.0,30,15.0,15.0,0.833333333,42.5,2003.0
18,IFX,PBO,3.784,0.995,301.0,77.0,1.0,binary,0.777,IFX,PBO,0.737,binary,2005.0,172.0,1.0,17.0,2.0,268.0,378,301.0,77.0,0.708994709,43,2005.0
19,IFX,PBO,3.064,1.404,35.0,19.0,2.0,binary,-0.611,IFX,PBO,1.385,binary,2010.0,19.0,0.0,1.0,1.0,36.0,54,35.0,19.0,0.666666667,45,2010.0
20,BRODA,PBO,4.06,1.408,40.0,38.0,1.0,binary,-0.051,BRODA,PBO,1.396,binary,2012.0,30.0,0.0,1.0,1.0,127.0,198,40.0,38.0,0.641414141,42.5,2012.0
21,APRE,PBO,3.318,1.006,562.0,282.0,1.0,binary,-0.284,APRE,PBO,0.451,binary,2015.0,55.0,1.0,12.0,8.0,573.0,844,562.0,282.0,0.678909953,46.5,2015.0
22,ADA,PBO,3.622,1.419,43.0,46.0,2.0,binary,0.473,ADA,PBO,0.888,binary,2010.0,17.0,0.0,3.0,2.0,143.0,169,43.0,46.0,0.846153846,45,2010.0
23,ADA,PBO,3.279,1.43,45.0,52.0,1.0,binary,2.089,ADA,PBO,1.498,binary,2006.0,11.0,0.0,3.0,0.0,99.0,148,45.0,52.0,0.668918919,44,2006.0
24,ADA,PBO,2.99,0.332,814.0,398.0,1.0,binary,0.047,ADA,PBO,0.454,binary,2008.0,366.0,9.0,15.0,7.0,803.0,1212,814.0,398.0,0.662541254,44,2008.0
25,ADA,MTX,1.318,0.258,108.0,110.0,1.0,binary,0.711,ADA,MTX,1.217,binary,2007.0,55.0,15.0,2.0,1.0,178.0,271,108.0,110.0,0.656826568,42,2007.0
25,ADA,PBO,1.504,0.396,108.0,53.0,1.0,binary,-0.019,ADA,PBO,1.213,binary,2007.0,55.0,6.0,2.0,1.0,178.0,271,108.0,53.0,0.656826568,42,2007.0
25,MTX,PBO,0.186,0.453,110.0,53.0,1.0,binary,-0.73,MTX,PBO,1.404,binary,2007.0,15.0,6.0,1.0,1.0,178.0,271,110.0,53.0,0.656826568,42,2007.0
26,ETA,PBO,,,,,1.0,binary,,ETA,PBO,,binary,2012.0,15.0,1.0,0.0,0.0,69.0,124,,,0.556451613,40.5,2012.0
29,ETA,PBO,,,57.0,55.0,3.0,binary,-0.036,ETA,PBO,0.982,binary,2003.0,,,2.0,2.0,70.0,112,57.0,55.0,0.625,47.5,2003.0
30,ETA,PBO,3.608,1.008,162.0,166.0,1.0,binary,,ETA,PBO,,binary,2003.0,36.0,1.0,,,439.0,672,162.0,166.0,0.65327381,45,2003.0
31,ETA,PBO,3.658,1.008,194.0,193.0,2.0,binary,,ETA,PBO,,binary,2005.0,39.0,1.0,,,382.0,611,194.0,193.0,0.625204583,45,2005.0
32,ETA,PBO,2.775,0.509,311.0,307.0,1.0,binary,0.68,ETA,PBO,0.703,binary,2006.0,65.0,4.0,6.0,3.0,419.0,620,311.0,307.0,0.675806452,46,2006.0
33,ETA,PBO,1.829,1.022,96.0,46.0,1.0,binary,-1.141,ETA,PBO,0.895,binary,2008.0,13.0,1.0,2.0,3.0,84.0,143,96.0,46.0,0.587412587,45,2008.0
34,MTX,PBO,0.028,0.061,38.0,38.0,3.0,binary,,MTX,PBO,,binary,2014.0,36.0,35.0,,,62.0,120,38.0,38.0,0.516666667,41,2014.0
35,MTX,PBO,0.647,0.294,10.0,10.0,2.0,binary,-1.099,MTX,PBO,1.574,binary,2006.0,10.0,5.0,0.0,1.0,15.0,24,10.0,10.0,0.625,44,2006.0
36,FUM,MTX,-0.732,1.192,26.0,25.0,3.0,binary,,FUM,MTX,,binary,2011.0,1.0,2.0,0.0,0.0,36.0,60,26.0,25.0,0.6,42,2011.0
37,MTX,PBO,0.472,0.108,212.0,204.0,1.0,binary,-0.444,MTX,PBO,0.908,binary,2012.0,125.0,75.0,2.0,3.0,320.0,478,212.0,204.0,0.669456067,44,2012.0
38,MTX,PBO,,,20.0,20.0,3.0,binary,,MTX,PBO,,binary,2010.0,,,,,29.0,40,20.0,20.0,0.725,27,2010.0
39,IXE,PBO,3.273,1.404,115.0,26.0,1.0,binary,-0.794,IXE,PBO,1.205,binary,2012.0,57.0,0.0,2.0,1.0,81.0,142,115.0,26.0,0.570422535,46,2012.0
40,IFX,PBO,,,11.0,11.0,1.0,binary,,IFX,PBO,,binary,2001.0,,,0.0,0.0,23.0,33,11.0,11.0,0.696969697,44,2001.0
41,IFX,PBO,4.544,1.0,314.0,208.0,1.0,binary,0.176,IFX,PBO,0.551,binary,2007.0,142.0,1.0,9.0,5.0,551.0,835,314.0,208.0,0.65988024,44,2007.0
42,IFX,MTX,1.05,0.145,653.0,215.0,3.0,binary,0.881,IFX,MTX,0.428,binary,2011.0,356.0,41.0,44.0,6.0,586.0,868,653.0,215.0,0.675115207,43,2011.0
43,IFX,PBO,3.38,0.994,99.0,51.0,1.0,binary,2.175,IFX,PBO,1.445,binary,2004.0,57.0,1.0,8.0,0.0,174.0,249,99.0,51.0,0.698795181,44,2004.0
44,FUM,PBO,1.977,1.425,22.0,12.0,3.0,binary,,FUM,PBO,,binary,1990.0,6.0,0.0,,,,39,22.0,12.0,#VALUE!,,1990.0
45,ADA,PBO,,,20.0,10.0,2.0,binary,0.94,ADA,PBO,1.502,binary,2013.0,,,2.0,0.0,23.0,30,20.0,10.0,0.766666667,56.5,2013.0
51,MTX,PBO,0.99,1.599,19.0,17.0,3.0,binary,,MTX,PBO,,binary,1963.0,1.0,0.0,0.0,0.0,,41,19.0,17.0,#VALUE!,,1963.0
52,CICLO,MTX,,,5.0,5.0,3.0,binary,,CICLO,MTX,,binary,2003.0,,,,,7.0,10,5.0,5.0,0.7,43,2003.0
53,CERTO,PBO,3.279,1.001,59.0,58.0,1.0,binary,1.592,CERTO,PBO,1.08,binary,2012.0,27.0,1.0,5.0,1.0,123.0,176,59.0,58.0,0.698863636,43,2012.0
55,MTX,PBO,,,20.0,20.0,3.0,binary,,MTX,PBO,,binary,2004.0,,,,,,40,20.0,20.0,#VALUE!,,2004.0
56,IFX,PBO,3.956,1.41,84.0,45.0,3.0,binary,0.48,IFX,PBO,1.623,binary,2012.0,48.0,0.0,1.0,0.0,95.0,129,84.0,45.0,0.736434109,40,2012.0
59,CICLO,PBO,,,81.0,39.0,3.0,binary,1.674,CICLO,PBO,1.464,binary,1997.0,,,5.0,0.0,,127,81.0,39.0,#VALUE!,,1997.0
60,PBO,USK,,,162.0,160.0,2.0,binary,-0.012,PBO,USK,1.41,binary,2013.0,,,1.0,1.0,248.0,322,162.0,160.0,0.770186335,40,2013.0
67,APRE,PBO,1.792,0.729,274.0,137.0,1.0,binary,-0.182,APRE,PBO,0.723,binary,2015.0,24.0,2.0,5.0,3.0,276.0,413,274.0,137.0,0.668280872,45.5,2015.0
69,ETA,PBO,3.541,0.998,335.0,107.0,1.0,binary,0.111,ETA,PBO,0.794,binary,2015.0,108.0,1.0,7.0,2.0,738.0,1106,335.0,107.0,0.667269439,44,2015.0
69,ETA,TOFA,-0.112,0.108,335.0,330.0,1.0,binary,0.321,ETA,TOFA,0.58,binary,2015.0,108.0,119.0,7.0,5.0,738.0,1106,335.0,330.0,0.667269439,44,2015.0
69,PBO,TOFA,-3.653,0.998,107.0,330.0,1.0,binary,0.21,PBO,TOFA,0.829,binary,2015.0,1.0,119.0,2.0,5.0,738.0,1106,107.0,330.0,0.667269439,44,2015.0
70,PBO,TOFA,-1.943,0.314,177.0,360.0,2.0,binary,0.017,PBO,TOFA,0.54,binary,2015.0,10.0,142.0,5.0,10.0,643.0,901,177.0,360.0,0.713651498,46,2015.0
71,PBO,TOFA,-2.009,0.315,196.0,381.0,2.0,binary,-0.252,PBO,TOFA,0.832,binary,2015.0,10.0,145.0,2.0,5.0,648.0,960,196.0,381.0,0.675,45,2015.0
72,ADA,GUSEL,-0.298,0.194,43.0,84.0,3.0,binary,1.763,ADA,GUSEL,1.622,binary,2015.0,19.0,50.0,1.0,0.0,207.0,293,43.0,84.0,0.706484642,47,2015.0
72,ADA,PBO,2.921,1.003,43.0,42.0,3.0,binary,-0.023,ADA,PBO,1.134,binary,2015.0,19.0,1.0,1.0,1.0,207.0,293,43.0,42.0,0.706484642,47,2015.0
72,GUSEL,PBO,3.219,0.992,84.0,42.0,3.0,binary,-1.786,GUSEL,PBO,1.622,binary,2015.0,50.0,1.0,0.0,1.0,207.0,293,84.0,42.0,0.706484642,47,2015.0
73,ETA,IXE,-1.328,0.115,358.0,351.0,1.0,binary,0.45,ETA,IXE,0.565,binary,2015.0,67.0,248.0,8.0,5.0,821.0,1224,358.0,351.0,0.670751634,45,2015.0
73,ETA,PBO,3.448,1.003,358.0,168.0,1.0,binary,0.63,ETA,PBO,0.785,binary,2015.0,67.0,1.0,8.0,2.0,821.0,1224,358.0,168.0,0.670751634,45,2015.0
73,IXE,PBO,4.777,0.998,351.0,168.0,1.0,binary,0.179,IXE,PBO,0.831,binary,2015.0,248.0,1.0,5.0,2.0,821.0,1224,351.0,168.0,0.670751634,45,2015.0
74,ETA,IXE,-0.976,0.094,382.0,385.0,1.0,binary,-0.58,ETA,IXE,0.553,binary,2015.0,98.0,262.0,5.0,9.0,918.0,1346,382.0,385.0,0.682020802,46,2015.0
74,ETA,PBO,2.11,0.411,382.0,193.0,1.0,binary,-0.683,ETA,PBO,0.626,binary,2015.0,98.0,6.0,5.0,5.0,918.0,1346,382.0,193.0,0.682020802,46,2015.0
74,IXE,PBO,3.086,0.403,385.0,193.0,1.0,binary,-0.103,IXE,PBO,0.551,binary,2015.0,262.0,6.0,9.0,5.0,918.0,1346,385.0,193.0,0.682020802,46,2015.0
76,SECU,USK,0.316,0.055,334.0,335.0,1.0,binary,0.003,SECU,USK,0.44,binary,2015.0,264.0,193.0,10.0,10.0,481.0,676,334.0,335.0,0.711538462,45,2015.0
77,PBO,SECU,-4.221,1.413,61.0,60.0,1.0,binary,-0.017,PBO,SECU,1.402,binary,2015.0,0.0,33.0,1.0,1.0,125.0,182,61.0,60.0,0.686813187,45,2015.0
78,BRODA,PBO,4.348,0.705,222.0,220.0,1.0,binary,0.279,BRODA,PBO,0.758,binary,2016.0,156.0,2.0,4.0,3.0,484.0,661,222.0,220.0,0.732223903,46,2016.0
79,BRODA,PBO,3.553,0.988,37.0,38.0,3.0,binary,0.027,BRODA,PBO,1.395,binary,2015.0,34.0,1.0,1.0,1.0,120.0,151,37.0,38.0,0.794701987,45,2015.0
80,BRODA,PBO,3.078,0.312,612.0,309.0,2.0,binary,-0.566,BRODA,PBO,0.481,binary,2015.0,430.0,10.0,9.0,8.0,1258.0,1831,612.0,309.0,0.687056253,45,2015.0
80,BRODA,USK,0.402,0.067,612.0,300.0,2.0,binary,0.098,BRODA,USK,0.597,binary,2015.0,430.0,141.0,9.0,4.0,1258.0,1831,612.0,300.0,0.687056253,45,2015.0
