,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.4920924218460850,0.21733591928647200,1.3545520817473800,5
1,1,B,1.5687200261287800,0.6655043866571080,1.2529316142129900,4
2,2,C,0.4630893601379580,0.21821640068760600,0.9858938106835620,7
3,3,D,0.5708871604402800,0.3092578433271320,1.3591459060823200,6
4,4,E,0.7768485164746810,0.805945481429712,1.6972678827806100,6
5,5,F,0.7670466489822310,0.3269292567901890,4.4384135028952300,3
6,6,G,0.8217325309131750,0.8056728836014110,1.2167955939003500,6
7,7,H,1.2157922343614600,0.4395379985246520,1.7969911453726600,1
8,8,I,0.9184004740043750,0.5295520823118660,2.7508082943703500,6
9,9,J,0.6598267916255240,0.39734713397284200,2.5467192973616200,4