id,unique_id,studlab,naif,rob,treat,treatdose,n1,n_completers,r1,rPASI75,rPGA,rAE,rSAE,r2,n2,age,male
2,1,Griffith_2010_ACCEPT,,H,ETA,ETA_AMM,347,347,80,197,170,243,4,4,347,45,613
3,1,Griffith_2010_ACCEPT,,H,USK,USK_45,209,209,76,141,136,138,4,4,209,45,126
4,2,Igarashi_2012,,M,PBO,PBO,32,31,1,2,3,21,2,,32,45,222
4,2,Igarashi_2012,,M,USK,USK_45,64,64,21,38,37,42,0,,64,45,531
7,3,Krueger_2007,,L,PBO,PBO,64,64,1,1,0,48,1,0,64,47,840
9,3,Krueger_2007,,L,USK,USK_45,128,128,43,76,78,106,5,5,128,41,103
11,4,Leonardi_2008_PHOENIX1,,L,PBO,PBO,255,255,5,8,10,122,2,2,255,44.5,125
10,4,Leonardi_2008_PHOENIX1,,L,USK,USK_45,255,255,106,171,154,146,2,2,255,46,117
14,5,Papp_2008_PHOENIX2,,L,PBO,PBO,410,410,3,15,20,202,8,7,410,45,509
15,5,Papp_2008_PHOENIX2,,L,USK,USK_45,409,409,173,273,278,215,8,8,409,44,929
16,6,Tsai_2011_PEARL,,L,PBO,PBO,60,60,1,3,5,42,2,1,60,46,91
16,6,Tsai_2011_PEARL,,L,USK,USK_45,61,61,30,41,43,40,0,0,61,44,306
18,7,Papp_2012a,,L,PBO,PBO,50,50,0,1,5,30,0,0,50,39,33
19,7,Papp_2012a,,L,TOFA,TOFA_AMM,49,48,16,33,35,30,1,1,49,44,66
21,8,Blauvelt_2015_FEATURE,,L,PBO,PBO,59,59,0,0,0,28,1,0,59,46.5,55
22,8,Blauvelt_2015_FEATURE,,L,SECU,SECU_AMM,59,59,36,45,41,30,3,3,59,42.5,57
23,9,Langley_2014_ERASURE,,L,PBO,PBO,248,248,3,11,6,116,4,3,248,42.5,25
24,9,Langley_2014_ERASURE,,L,SECU,SECU_AMM,245,245,145,200,160,135,6,6,245,43,268
29,10,Langley_2014_FIXTURE,,L,ETA,ETA_AMM,326,326,67,142,88,186,3,3,326,45,36
28,10,Langley_2014_FIXTURE,,L,PBO,PBO,326,326,5,16,9,163,6,4,326,42.5,127
31,10,Langley_2014_FIXTURE,,L,SECU,SECU_AMM,327,327,175,249,202,181,4,4,327,46.5,573
32,11,Papp_2013a,,H,PBO,PBO,22,22,1,2,2,8,2,2,22,45,143
32,11,Papp_2013a,,H,SECU,SECU_other,103,103,20,40,23,51,3,2,103,44,99
33,12,Rich_2013,,L,PBO,PBO,67,67,1,1,1,47,1,0,67,44,803
33,12,Rich_2013,,L,SECU,SECU_other,337,337,73,137,83,221,12,10,337,42,178
37,13,Akcali_2014,,H,ACI,ACI_AMM,,25,,,,,,,,40.5,69
37,13,Akcali_2014,,H,CICLO,CICLO_AMM,,21,,,,,,,,.,24
38,14,Ellis_1991,,M,CICLO,CICLO_AMM,60,,,,34,,,,60,54.5,33
38,14,Ellis_1991,,M,PBO,PBO,25,,,,0,,,,25,47.5,70
39,15,Flystrom_2007,,H,CICLO,CICLO_AMM,43,31,9,18,,30,0,0,43,45,439
39,15,Flystrom_2007,,H,MTX,MTX_other,41,37,4,9,,29,0,0,41,45,382
40,16,Heydendael_2003,,H,CICLO,CICLO_AMM,44,42,14,30,14,35,0,0,44,46,419
40,16,Heydendael_2003,,H,MTX,MTX_AMM,44,43,17,26,17,29,0,0,44,45,84
41,17,Sandhu_2003,,H,CICLO,CICLO_AMM,,15,6,,6,,,,,41,62
41,17,Sandhu_2003,,H,MTX,MTX_AMM,,15,13,,13,,,,,44,15
42,18,Reich_2005_EXPRESS,,L,IFX,IFX_AMM,301,301,172,242,242,,17,,301,42,36
42,18,Reich_2005_EXPRESS,,L,PBO,PBO,77,77,1,2,3,,2,,77,44,320
43,19,Torii_2010,,M,IFX,IFX_AMM,35,35,19,24,25,34,1,,35,27,29
43,19,Torii_2010,,M,PBO,PBO,19,19,0,0,2,11,1,,19,46,81
45,20,Papp_2012,,L,BRODA,BRODA_AMM,40,40,30,33,32,33,1,1,40,44,23
44,20,Papp_2012,,L,PBO,PBO,38,38,0,0,1,23,1,1,38,44,551
47,21,Papp_2015_ESTEEM-1,,L,APRE,APRE_AMM,562,562,55,186,122,248,12,12,562,43,586
47,21,Papp_2015_ESTEEM-1,,L,PBO,PBO,282,282,1,15,11,85,8,8,282,44,174
54,22,Asahina_2010,,M,ADA,ADA_AMM,43,43,17,27,26,39,3,3,43,.,.
53,22,Asahina_2010,,M,PBO,PBO,46,46,0,2,4,41,2,0,46,56.5,23
55,23,Gordon_2006,,L,ADA,ADA_AMM,46,45,11,24,,,3,,46,37,51
56,23,Gordon_2006,,L,PBO,PBO,52,52,0,2,,,0,,52,44,55
58,24,Menter_2008_REVEAL,,L,ADA,ADA_AMM,814,814,366,578,506,506,15,,814,45,68
58,24,Menter_2008_REVEAL,,L,PBO,PBO,398,398,9,26,17,221,7,,398,46,473
60,25,Saurat_2008_CHAMPION,1,L,ADA,ADA_AMM,108,108,55,86,78,79,2,2,108,45,24
61,25,Saurat_2008_CHAMPION,1,L,MTX,MTX_AMM,110,110,15,39,33,89,1,1,110,.,.
60,25,Saurat_2008_CHAMPION,1,L,PBO,PBO,53,53,6,10,6,42,1,1,53,43,7
62,26,Bagel_2012,,L,ETA,ETA_AMM,62,,15,36,33,32,0,0,62,43,123
62,26,Bagel_2012,,L,PBO,PBO,62,,1,3,3,34,0,0,62,44.5,32
63,27,Caproni_2009,1,H,ACI,ACI_AMM,30,30,0,8,,,0,0,30,.,.
63,27,Caproni_2009,1,H,ETA,ETA_AMM,30,30,5,17,,,0,0,30,40,95
64,28,Gisondi_2008,1,H,ACI,ACI_AMM,20,20,1,6,1,3,0,0,20,.,.
64,28,Gisondi_2008,1,H,ETA,ETA_other,22,22,3,10,3,2,0,0,22,46,18
65,29,Gottlieb_2003,,H,ETA,ETA_other,57,57,,17,,,2,2,57,.,.
65,29,Gottlieb_2003,,H,PBO,PBO,55,55,,1,,,2,1,55,40,248
68,30,Leonardi_2003,,L,ETA,ETA_AMM,168,162,36,81,81,,,,168,.,31
67,30,Leonardi_2003,,L,PBO,PBO,168,166,1,6,8,,,,168,.,24
70,31,Papp_2005,,M,ETA,ETA_AMM,203,194,39,94,109,,,,203,.,11
69,31,Papp_2005,,M,PBO,PBO,204,193,1,6,7,,,,204,45,42
72,32,Tyring_2006,,L,ETA,ETA_AMM,311,311,65,147,,153,6,6,311,.,.
72,32,Tyring_2006,,L,PBO,PBO,309,307,4,15,,137,3,3,309,44,190
73,33,Vandekerkhof_2008,,L,ETA,ETA_other,96,96,13,36,37,,2,,96,45.5,276
73,33,Vandekerkhof_2008,,L,PBO,PBO,46,46,1,1,2,,3,,46,46,458
74,34,Alhamamy_2014,,H,MTX,MTX_AMM,,38,36,,,,,,,44,738
74,34,Alhamamy_2014,,H,PBO,PBO,,38,35,,,,,,,46,643
75,35,Asawanonda_2006,,M,MTX,MTX_AMM,11,10,10,10,,7,0,0,11,45,648
75,35,Asawanonda_2006,,M,PBO,PBO,13,10,5,5,,9,1,0,13,47,207
76,36,Fallaharani_2011,,H,FUM,FUM,30,26,1,5,,24,0,0,30,45,821
76,36,Fallaharani_2011,,H,MTX,MTX_AMM,30,25,2,6,,27,0,0,30,46,918
77,37,Gottlieb_2012,,L,MTX,MTX_AMM,239,212,125,184,158,179,2,2,239,46,635
77,37,Gottlieb_2012,,L,PBO,PBO,239,204,75,141,121,143,3,3,239,45,481
78,38,Mahajan_2012,,H,MTX,MTX_AMM,20,20,,19,,7,,,20,45,125
78,38,Mahajan_2012,,H,PBO,PBO,20,20,,14,,12,,,20,46,484
79,39,Leonardi_2012,,L,IXE,IXE_other,115,115,57,78,69,72,2,2,115,45,120
79,39,Leonardi_2012,,L,PBO,PBO,27,26,0,2,2,17,1,1,27,45,1258
83,40,Chaudhari_2001,,L,IFX,IFX_AMM,11,11,,9,,,0,0,11,45,1288
81,40,Chaudhari_2001,,L,PBO,PBO,11,11,,2,,,0,0,11,45,270
84,41,Menter_2007_EXPRESSII,,L,IFX,IFX_AMM,314,314,142,237,,216,9,,314,44,31
85,41,Menter_2007_EXPRESSII,,L,PBO,PBO,208,208,1,4,,116,5,,208,43,312
87,42,Barker_2011_RESTORE,1,H,IFX,IFX_AMM,653,653,356,508,496,466,44,,653,.,.
87,42,Barker_2011_RESTORE,1,H,MTX,MTX_AMM,215,215,41,90,82,142,6,,215,37,48
88,43,Gottlieb_2004,,L,IFX,IFX_AMM,99,99,57,87,,78,8,,99,41,176
88,43,Gottlieb_2004,,L,PBO,PBO,51,51,1,3,,32,0,,51,43.5,145
91,44,Nugteren-Huying_1990,,H,FUM,FUM,,22,6,,6,,,,,45,131
91,44,Nugteren-Huying_1990,,H,PBO,PBO,,12,0,,0,,,,,49,71
92,45,Bisonnette_2013,,M,ADA,ADA_AMM,20,20,,14,,,2,2,20,46,883
92,45,Bisonnette_2013,,M,PBO,PBO,10,10,,2,,,0,0,10,45,100
93,46,Dogra_2013,,H,ACI,ACI_AMM,41,33,7,20,,,,,41,44.5,452
94,47,Ruzicka_1991,,H,ACI,ACI_AMM,42,40,16,,,,,,42,.,.
94,47,Ruzicka_1991,,H,PBO,PBO,40,38,6,,,,,,40,46,50
95,48,Sommerburg_1993,,H,ACI,ACI_other,44,40,28,,,28,3,,44,45.5,8
95,48,Sommerburg_1993,,H,PBO,PBO,44,43,19,,,20,3,,44,44,221
96,49,Sterry_2010_PRESTA,,L,ETA,ETA_AMM,,379,,207,176,,15,13,,46,163
97,50,Chladek_2005,,H,MTX,MTX_AMM,21,21,,,,,,,21,45,157
98,51,Hunter_1963,,H,MTX,MTX_other,19,19,1,,7,0,0,0,19,44,608
98,51,Hunter_1963,,H,PBO,PBO,17,17,0,,1,0,0,0,17,44,692
99,52,Piskin_2003,,H,CICLO,CICLO_AMM,5,5,,,,,,,5,43,25
99,52,Piskin_2003,,H,MTX,MTX_AMM,5,5,,,,,,,5,45,732
102,53,Reich_2012,,L,CERTO,CERTO_AMM,59,59,27,48,42,40,5,4,59,46,184
100,53,Reich_2012,,L,PBO,PBO,58,58,1,4,1,41,1,1,58,47,183
103,54,Saurat_1988,,H,ACI,ACI_other,,20,17,,,,1,,,42,329
103,54,Saurat_1988,,H,PBO,PBO,,22,16,,,,1,,,48,361
104,55,Shehzad_2004,,H,MTX,MTX_other,20,20,,,,,,,20,47,336
104,55,Shehzad_2004,,H,PBO,PBO,20,20,,,,,,,20,46,162
105,56,Yang_2012,,H,IFX,IFX_AMM,84,84,48,68,74,36,1,,84,45,127
105,56,Yang_2012,,H,PBO,PBO,45,45,0,1,3,17,0,,45,51,93
106,57,Dubertret_1989,,H,CICLO,CICLO_AMM,19,19,,19,,,,,19,48,11
107,58,Engst_1989,,H,CICLO,CICLO_AMM,12,,,,,,,,12,47,8
108,59,Meffert_1997,,H,CICLO,CICLO_Other,84,81,,21,,44,5,,84,47.5,810
108,59,Meffert_1997,,H,PBO,PBO,43,39,,2,,4,0,,43,43,67
109,60,Zhu_2013_LOTUS,,M,PBO,PBO,162,162,,18,24,22,1,1,162,46,132
109,60,Zhu_2013_LOTUS,,M,USK,USK_45,160,160,,132,126,29,1,1,160,45,377
111,61,Goldfarb_1998,,H,ACI,ACI_AMM,16,16,,4,,,,,16,42,121
111,61,Goldfarb_1998,,H,PBO,PBO,12,12,,1,,,,,12,44,295
113,62,Lowe_1991,,H,ACI,ACI_AMM,16,16,,,,,,,16,43,203
113,62,Lowe_1991,,H,PBO,PBO,18,18,,,,,,,18,46,53
114,63,Olsen_1989,,H,ACI,ACI_other,10,,,,,,,,10,42,82
114,63,Olsen_1989,,H,PBO,PBO,5,,,,,,,,5,52,143
115,64,Tanew_1991,,H,ACI,ACI_AMM,30,23,,,22,,,,30,50.5,202
115,64,Tanew_1991,,H,PBO,PBO,30,25,,,20,,,,30,49,145
116,65,Yilmaz_2002,,H,ACI,ACI_AMM,25,23,23,23,23,15,1,,25,44,228
116,65,Yilmaz_2002,,H,PBO,PBO,25,23,23,23,23,10,0,,25,44,163
117,66,Strohal_2013_PRISTINE,,L,ETA,ETA_AMM,136,133,66,104,93,94,3,3,136,46,109
118,67,Paul_2015_ESTEEM-2,,L,APRE,APRE_AMM,275,274,24,79,56,185,5,3,275,45,194
118,67,Paul_2015_ESTEEM-2,,L,PBO,PBO,138,137,2,8,6,82,3,3,138,44,160
119,68,Bisonnette_2015,,M,TOFA,TOFA_AMM,338,333,140,225,209,234,11,11,338,43,202
124,69,Bachelez_2015,,L,ETA,ETA_AMM,336,335,108,197,222,192,7,6,336,47,533
120,69,Bachelez_2015,,L,PBO,PBO,108,107,1,6,16,55,2,0,108,45,554
123,69,Bachelez_2015,,L,TOFA,TOFA_AMM,332,330,119,210,225,198,5,3,332,43,124
127,70,Papp_2015_OPT Pivotal-1,,M,PBO,PBO,177,177,10,11,16,89,5,,177,41,194
127,70,Papp_2015_OPT Pivotal-1,,M,TOFA,TOFA_AMM,360,360,142,213,213,220,10,,360,46,381
130,71,Papp_2015_OPT Pivotal-2,,M,PBO,PBO,196,196,10,22,21,93,2,,196,39,48
131,71,Papp_2015_OPT Pivotal-2,,M,TOFA,TOFA_AMM,381,381,145,223,221,212,5,,381,46,422
137,72,Gordon_2015_X-PLORE,,H,ADA,ADA_AMM,43,43,19,30,25,24,1,1,43,49,356
135,72,Gordon_2015_X-PLORE,,H,GUSEL,GUSEL_AMM,84,84,50,67,71,42,0,0,84,43.5,365
133,72,Gordon_2015_X-PLORE,,H,PBO,PBO,42,42,1,2,3,22,1,1,42,52,20
142,73,Griffith_2015_UNCOVER2,,L,ETA,ETA_AMM,358,358,67,149,129,211,8,8,358,.,394
139,73,Griffith_2015_UNCOVER2,,L,IXE,IXE_AMM,351,351,248,315,292,216,5,5,351,45.2,102
138,73,Griffith_2015_UNCOVER2,,L,PBO,PBO,168,168,1,4,4,89,2,1,168,47,152
148,74,Griffith_2015_UNCOVER3,,L,ETA,ETA_AMM,382,382,98,204,159,187,5,5,382,42.5,30
145,74,Griffith_2015_UNCOVER3,,L,IXE,IXE_AMM,385,385,262,336,310,205,9,9,385,43,355
144,74,Griffith_2015_UNCOVER3,,L,PBO,PBO,193,193,6,14,13,70,5,4,193,47.5,61
150,75,Mrowietz_2015_SCULPTURE,,L,SECU,SECU_AMM,484,484,311,436,368,248,9,9,484,.,133
151,76,Thaçi_2015_CLEAR,,L,SECU,SECU_AMM,337,334,264,311,277,215,10,10,337,50,99
151,76,Thaçi_2015_CLEAR,,L,USK,USK_45,339,335,193,277,226,196,10,10,339,40.5,412
153,77,Paul_2015_JUNCTURE,,L,PBO,PBO,61,61,0,2,0,33,1,1,61,46,707
153,77,Paul_2015_JUNCTURE,,L,SECU,SECU_AMM,60,60,33,52,44,42,1,1,60,42.5,71
157,78,Papp_2016_AMAGINE-1,,L,BRODA,BRODA_AMM,222,222,156,185,168,131,4,4,222,.,145
155,78,Papp_2016_AMAGINE-1,,L,PBO,PBO,220,220,2,6,3,112,3,1,220,47,187
159,79,Nakagawa_2016,,H,BRODA,BRODA_AMM,37,37,34,35,35,27,1,1,37,49,652
158,79,Nakagawa_2016,,H,PBO,PBO,38,38,1,3,2,17,1,1,38,44.5,52
164,80,Lebwohl_2015_AMAGINE2,,M,BRODA,BRODA_AMM,612,612,430,528,481,354,9,9,612,47,213
162,80,Lebwohl_2015_AMAGINE2,,M,PBO,PBO,309,309,10,25,12,165,8,8,309,46.5,373
163,80,Lebwohl_2015_AMAGINE2,,M,USK,USK_45,300,300,141,210,183,177,4,4,300,45,613
168,81,Lebwohl_2015_AMAGINE3,,M,BRODA,BRODA_AMM,624,624,429,531,497,353,9,8,624,45,126
169,81,Lebwohl_2015_AMAGINE3,,M,PBO,PBO,315,315,5,19,13,152,3,2,315,45,222
169,81,Lebwohl_2015_AMAGINE3,,M,USK,USK_45,313,313,149,217,179,168,2,2,313,45,531
